pmid,title,journal,year,article_type,is_case_report,country,decision,reason_code,ae_topic,bucket,reviewer
30461672,Florid Scurvy in an Autistic Child on a Ketogenic Diet.,Pediatric emergency care,2021,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
30880499,Hematoprotective effects and antioxidant properties of β-glucan and vitamin C against acetaminophen-induced toxicity: an experimental study in rats.,Drug and chemical toxicology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
31916585,Silicon and nitric oxide-mediated mechanisms of cadmium toxicity alleviation in wheat seedlings.,Physiologia plantarum,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
32432971,"Nutritional deficiency presenting as acute pain, fatigue and bruising in a college health clinic.",Journal of American college health : J of ACH,2022,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
32639115,Scurvy in childhood: do not forget it.,Minerva pediatrics,2022,review/meta-analysis,False,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
32897996,The Pitfall in Differential Diagnosis of Musculoskeletal Symptoms in Children: A Case Series of Pediatric Scurvy.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2021,case series,False,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
32901526,Evaluation and clinical comparison studies on liposomal and non-liposomal ascorbic acid (vitamin C) and their enhanced bioavailability.,Journal of liposome research,2021,clinical trial,False,NR,exclude,R4_efficacy,liposomal vit C bioavailability,,R-A + R-B (adjudicated)
32920948,Melatonin application differentially modulates the enzymes associated with antioxidative machinery and ascorbate-glutathione cycle during arsenate exposure in indica rice varieties.,"Plant biology (Stuttgart, Germany)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
32937094,Paediatric scurvy: frequently misdiagnosed.,Paediatrics and international child health,2021,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
33236382,Comparative effects of ascobin and glutathione on copper homeostasis and oxidative stress metabolism in mitigation of copper toxicity in rice.,"Plant biology (Stuttgart, Germany)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
